,Rating,MRP,Processor,RAM,OS,Storage,Brand,OS_arch,RAM_Type
498,4.2,249900.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],APPLE,64,Unified Memory
499,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
500,4.2,164990.0,Intel Core i7 Processor,16 GB,Windows 11,['1 TB SSD'],Lenovo,64,DDR5
501,4.2,51990.0,Intel Core i5 Processor,8 GB,Windows 10,['512 GB SSD'],ASUS,64,DDR4
502,4.2,47990.0,AMD Ryzen 3 Quad Core Processor,8 GB,Windows 11,['512 GB SSD'],ASUS,64,LPDDR5
503,3.9,62990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
504,4.2,107699.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR5
505,4.4,52990.0,Intel Core i5 Processor,8 GB,Windows 10,['512 GB SSD'],acer,64,DDR4
506,3.6,109100.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
507,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
508,4.0,130990.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
509,4.3,30690.0,Intel Pentium Quad Core Processor,4 GB,Windows 10,['256 GB SSD'],DELL,64,DDR4
510,4.2,89990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,LPDDR4X
511,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
512,4.2,92290.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],Lenovo,64,LPDDR4X
513,4.1,103490.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
514,3.8,62990.0,Intel Core i5 Processor,8 GB,Windows 10,['512 GB SSD'],DELL,64,DDR4
515,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
516,4.2,94990.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],MSI,64,DDR5
517,4.0,42490.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
518,4.2,189990.0,AMD Ryzen 9 Octa Core Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,DDR5
519,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
520,4.2,75100.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10,"['1 TB HDD', '256 GB SSD']",ASUS,64,DDR4
521,4.5,55990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10,['512 GB SSD'],acer,64,LPDDR4X
522,4.3,45999.0,Intel Core i5 Processor,8 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",DELL,64,DDR4
523,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
524,4.4,72990.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],SAMSUNG,64,DDR4
525,4.2,109990.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,LPDDR5
526,4.6,46990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,['512 GB SSD'],Lenovo,64,DDR4
527,3.9,62990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
528,4.2,167990.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR5
529,4.2,59990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
530,4.5,85990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
531,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
532,4.2,74990.0,AMD Ryzen 5 Dual Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
533,4.2,48990.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
534,4.3,83192.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
535,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,['512 GB SSD'],HP,32,DDR4
536,4.5,180990.0,Intel Core i5 Processor,16 GB,Windows 10,['1 TB SSD'],MSI,64,DDR4
537,3.8,56990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
538,4.4,43490.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
539,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
540,4.0,157990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,DDR5
541,4.2,31990.0,Intel Core i3 Processor,8 GB,Windows 11,['256 GB SSD'],Infinix,64,LPDDR4X
542,4.2,95990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
