,Rating,MRP,Processor,RAM,OS,Storage,Brand
300,,68990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
301,,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
302,4.5,45990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
303,4.3,36158.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
304,4.6,129990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,MSI
305,4.5,74890.0,,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,DELL
306,,281990.0,Intel Core i9 Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
307,4.2,60990.0,Intel Core i5 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
308,,193990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,GIGABYTE
309,,83990.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,Lenovo
310,4.7,129990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,MSI
311,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
312,,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
313,4.6,129990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,MSI
314,,123990.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
315,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
316,,168990.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
317,,166499.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,HP
318,4.2,63990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,HP
319,3.8,19100.0,,4 GB DDR4 RAM,32 bit Chrome Operating System,,HP
320,4.2,31990.0,Intel Core i3 Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,Infinix
321,4.2,42990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,acer
322,,171990.0,AMD Ryzen 9 Octa Core Processor,32 GB LPDDR5 RAM,,1 TB SSD,ASUS
323,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
324,,99290.0,Intel Core i5 Processor,16 GB LPDDR4X RAM,,512 GB SSD,Lenovo
325,4.3,36541.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
326,4.7,241990.0,Intel Core i9 Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
327,4.3,36158.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
328,3.0,137990.0,,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD256 GB SSD,ASUS
329,,162990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
330,,157990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,,1 TB SSD,ASUS
331,4.5,37990.0,Intel Core i3 Processor,8 GB DDR4 RAM,,512 GB SSD,MSI
332,,139000.0,,8 GB Unified Memory RAM,,512 GB SSD,APPLE
333,4.2,43990.0,,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
334,,70990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,,512 GB SSD,ASUS
335,4.2,33639.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
336,,119990.0,Intel Core i7 Processor,16 GB LPDDR5 RAM,,512 GB SSD,Lenovo
337,,139990.0,Intel Core i7 Processor,16 GB LPDDR5 RAM,,1 TB SSD,ASUS
338,4.6,109990.0,Intel Core i7 Processor,16 GB DDR4 RAM,,1 TB SSD,HP
339,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
340,4.3,62490.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
341,,62990.0,Intel Core i5 Processor,8 GB DDR4 RAM,,512 GB SSD,MSI
342,,116899.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,HP
343,3.8,19100.0,,4 GB DDR4 RAM,32 bit Chrome Operating System,,HP
